L,11,47004,120380420,106.5496,-6.2117
G,10,18723,42554,116.8597,-1.2634
G,10,18723,42555,116.8593,-1.2636
G,10,18723,42556,116.8585,-1.2626
L,11,61004,156183301,115.1646,-8.6808
L,10,9513,85760277,119.4442,-5.1962
L,10,9513,85770261,119.446,-5.2029
L,10,9571,87106837,119.4349,-5.166
G,10,18725,41013,116.823,-1.2686
G,10,18730,40435,116.8677,-1.2454
L,10,2015,38204703,107.5168,-6.8798
L,10,2015,38204683,107.5208,-6.8859
L,11,54013,138829061,112.7382,-7.2442
L,10,2022,38333461,107.6914,-6.9701
L,10,9513,87160587,119.4935,-5.1912
L,10,6226,58738699,112.7029,-7.3699
L,10,2008,38208789,107.4938,-6.8345
L,10,2008,38208799,107.4834,-6.8229
L,10,9513,85760287,119.4456,-5.1954
L,10,6212,59581963,112.6992,-7.2941
L,10,6209,58678815,112.7538,-7.3661
L,11,44005,117817093,106.896,-6.3876
L,10,7249,79921183,116.86,-1.2436
L,10,7252,79874591,116.8367,-1.2522
G,10,18723,41874,116.8548,-1.2702
G,10,18723,42525,116.8566,-1.2699
G,10,18724,42065,116.8345,-1.2428
G,10,18724,42064,116.8343,-1.2414
G,10,18723,41875,116.8538,-1.2711
G,10,18730,40436,116.8626,-1.243
G,10,18724,42066,116.8328,-1.2413
G,10,18723,42526,116.8552,-1.2698
G,10,18730,41924,116.8627,-1.2435
G,10,18723,49765,116.8608,-1.2731
G,10,18723,49766,116.861,-1.2732
G,10,18724,41196,116.8398,-1.2445
G,10,18724,40474,116.8441,-1.2291
G,10,18724,43216,116.8381,-1.2378
G,10,18723,43025,116.8763,-1.2716
G,10,18724,41764,116.839,-1.2403
L,11,44005,117817094,106.8958,-6.3845
L,10,2008,38169355,107.4805,-6.8173
L,10,6212,59543051,112.7125,-7.27
L,10,6023,59647765,112.6918,-7.2608
L,10,6022,59617301,112.638,-7.2831
L,11,54412,138765829,112.7624,-7.2391
L,11,54412,138269957,112.7785,-7.2241
L,10,6025,59533333,112.682,-7.2503
L,11,47103,120396806,106.7142,-6.301
L,11,61004,156183302,115.1644,-8.679
L,11,61004,156183300,115.1658,-8.6771
L,10,9571,87106827,119.4512,-5.1531
L,11,41004,105050117,106.8299,-6.1871
G,10,18144,40133,117.7407,1.0469
L,10,2046,38363147,107.7195,-6.9582
